+1.04576E+02,-8.16657E+00
 +1.04981E+02,-8.56880E+00
 +1.05590E+02,-8.92628E+00
 +1.06123E+02,-9.23956E+00
 +1.06345E+02,-9.37105E+00
 +1.06827E+02,-9.66517E+00
 +1.07379E+02,-9.89028E+00
 +1.07836E+02,-1.00528E+01
 +1.08363E+02,-1.01777E+01
 +1.09067E+02,-1.03276E+01
 +1.09626E+02,-1.03713E+01
 +1.10159E+02,-1.04399E+01
 +1.10615E+02,-1.04773E+01
 +1.11015E+02,-1.04773E+01
 +1.11523E+02,-1.05772E+01
 +1.12170E+02,-1.06520E+01
 +1.12563E+02,-1.07580E+01
 +1.13204E+02,-1.08702E+01
 +1.13756E+02,-1.09636E+01
 +1.14410E+02,-1.10882E+01
 +1.15013E+02,-1.11505E+01
 +1.15571E+02,-1.12189E+01
 +1.16174E+02,-1.12750E+01
 +1.16853E+02,-1.13310E+01
 +1.17576E+02,-1.13372E+01
 +1.18236E+02,-1.13869E+01
 +1.18750E+02,-1.13621E+01
 +1.19270E+02,-1.13932E+01
 +1.19841E+02,-1.14616E+01
 +1.20451E+02,-1.15238E+01
 +1.20886E+02,-1.14925E+01
+1.20886E+02,-1.14925E+01
 +1.21110E+02,-1.14927E+01
 +1.21783E+02,-1.14118E+01
 +1.22627E+02,-1.11878E+01
 +1.23217E+02,-1.09948E+01
 +1.23960E+02,-1.07081E+01
 +1.24734E+02,-1.03900E+01
 +1.25159E+02,-1.01590E+01
 +1.25482E+02,-9.98405E+00
 +1.25869E+02,-9.78401E+00
 +1.26333E+02,-9.59637E+00
 +1.26853E+02,-9.38984E+00
 +1.27430E+02,-9.22077E+00
 +1.27900E+02,-9.13307E+00
 +1.28376E+02,-9.09547E+00
 +1.29106E+02,-9.02027E+00
 +1.29861E+02,-8.92625E+00
 +1.30540E+02,-8.72560E+00
 +1.30933E+02,-8.56249E+00
 +1.31415E+02,-8.26747E+00
